id,Rollercoaster Name,Amusement Park,City,Country,Region,Construction Material,Height,Speed,Length,Inversion,Number of Inversions,Year Opened
192,Tigre,Parque de la Costa,"Buenos Aires, BA",Argentina,Latin America,Steel,35.5,75.6,285.0,Yes,3.0,1998.0
193,Boomerang,Playcenter Sao Paulo,Sao Paulo,Brazil,Latin America,Steel,35.5,75.6,285.0,Yes,3.0,1997.0
194,Boomerang,Fantasilandia,"Santiago, Santiago",Chile,Latin America,Steel,35.5,75.6,285.0,Yes,3.0,1998.0
195,Bumeran,Parque Diversiones,"San Jose, CR",Costa Rica,Latin America,Steel,35.5,75.6,285.0,Yes,3.0,2012.0
196,Boomerang,Freizeit-Land Geiselwind,"Geiselwind, Bavaria",Germany,Europe,Steel,35.5,75.6,285.0,Yes,3.0,2000.0
197,Boomerang,Walibi Aquitaine,"Roquefort, Aquitaine",France,Europe,Steel,35.5,75.6,285.0,Yes,3.0,1992.0
198,Boomerang,Six Flags Mexico,Mexico City,Mexico,Latin America,Steel,35.5,75.6,285.0,Yes,3.0,1982.0
199,Boomerang,Walibi Rhone-Alpes,"Les Avenieres, Rhône-Alpes",France,Europe,Steel,35.5,76.0,285.0,Yes,3.0,1992.0
200,Boomerang,Knott's Berry Farm,Buena Park,USA,North America,Steel,35.5092,76.14,284.988,Yes,3.0,1990.0
201,Boomerang Coast to Coaster,Six Flags Discovery Kingdom,Vallejo,USA,North America,Steel,35.5092,76.14,284.988,Yes,3.0,1998.0
202,GhostRider,Knott's Berry Farm,Buena Park,USA,North America,Wood,35.9664,90.72,"1,381.66",No,0.0,1998.0
203,Goudurix,Parc Asterix,"Plailly, Picardie",France,Europe,Steel,36.0,90.0,950.0,Yes,7.0,1989.0
204,Aconcagua,Parque de la Ciudad,"Buenos Aires, BA",Argentina,Latin America,Steel,36.2,93.2,751.0,No,0.0,1982.0
